event_type,start,end
unknown,20220913 06:53:00.406,20220913 06:53:04.897
flight_cruising,20220917 20:46:32.297,20220917 20:46:46.699
unknown,20220917 20:46:10.314,20220917 20:46:13.013
flight_cruising,20220917 23:42:51.125,20220917 23:44:42.822
stationary,20220917 23:41:34.087,20220917 23:42:48.853
stationary,20220917 23:44:42.829,20220917 23:45:19.392
flight_cruising,20220918 00:05:26.524,20220918 00:07:02.261
stationary,20220918 00:07:02.267,20220918 00:10:28.545
foraging_dive,20220918 01:09:48.590,20220918 01:09:56.894
foraging_dive,20220918 01:10:48.951,20220918 01:10:54.222
foraging_dive,20220918 01:11:24.913,20220918 01:11:38.864
flight_cruising,20220915 20:25:54.757,20220915 20:26:24.839
flight_cruising,20220915 22:12:39.782,20220915 22:17:41.353
flight_cruising,20220915 23:37:03.544,20220915 23:42:05.380
stationary,20220915 23:48:41.674,20220915 23:52:29.537
foraging_dive,20220916 00:00:08.989,20220916 00:00:12.287
flight_cruising,20220916 00:00:41.531,20220916 00:02:12.409
flight_cruising,20220916 00:02:31.411,20220916 00:03:04.796
flight_cruising,20220916 00:03:51.365,20220916 00:04:04.951
stationary,20220916 03:45:04.615,20220916 03:50:06.769
flight_cruising,20220916 04:36:42.519,20220916 04:39:54.883
stationary,20220916 04:39:54.915,20220916 04:40:38.643
bathing,20220916 04:40:38.660,20220916 04:40:48.701
stationary,20220916 04:41:09.549,20220916 04:41:44.575
bathing,20220916 06:55:40.777,20220916 07:00:43.336
flight_cruising,20220827 00:09:44.116,20220827 00:09:56.660
stationary,20220827 00:07:07.626,20220827 00:09:40.871
unknown,20220912 21:00:41.692,20220912 21:01:59.822
bathing,20220913 21:26:26.047,20220913 21:31:27.262
flight_cruising,20220913 23:19:54.837,20220913 23:24:56.606
bathing,20220913 23:50:43.448,20220913 23:55:45.016
flight_cruising,20220915 21:01:42.971,20220915 21:04:19.504
stationary,20220915 20:59:17.589,20220915 21:00:44.958
flight_cruising,20220915 22:54:12.580,20220915 22:55:55.081
stationary,20220915 22:55:55.146,20220915 22:59:14.481
foraging_dive,20220915 23:02:40.173,20220915 23:02:52.391
foraging_dive,20220915 23:03:01.813,20220915 23:03:13.664
foraging_dive,20220915 23:03:24.554,20220915 23:03:38.238
foraging_dive,20220915 23:04:01.361,20220915 23:04:13.084
flight_cruising,20220826 20:26:41.148,20220826 20:27:08.155
stationary,20220826 20:27:08.157,20220826 20:29:03.514
flight_cruising,20220827 03:40:29.004,20220827 03:40:57.900
unknown,20220829 21:46:16.663,20220829 21:48:11.161
flight_take_off,20220826 20:26:38.645,20220826 20:26:41.146
unknown,20220826 20:24:05.548,20220826 20:24:08.109
flight_take_off,20220827 00:09:40.874,20220827 00:09:44.112
stationary,20220826 20:58:01.090,20220826 20:58:44.624
flight_take_off,20220826 21:34:03.915,20220826 21:34:07.175
stationary,20220826 21:35:26.717,20220826 21:36:01.627
flight_take_off,20220826 21:36:01.629,20220826 21:36:03.647
flight_take_off,20220827 03:40:16.543,20220827 03:40:19.302
flight_take_off,20220828 21:11:00.229,20220828 21:11:03.475
stationary,20220829 21:48:11.171,20220829 21:48:24.517
unknown,20220829 21:48:24.522,20220829 21:48:27.495
stationary,20220829 21:48:27.501,20220829 21:48:32.909
flight_take_off,20220829 21:48:32.914,20220829 21:48:35.324
stationary,20220830 04:37:06.583,20220830 04:37:19.707
surface_seizing,20220830 04:37:19.737,20220830 04:37:29.356
surface_seizing,20220830 04:37:40.342,20220830 04:37:56.256
stationary,20220830 04:37:29.384,20220830 04:37:40.322
foraging_dive,20220830 04:38:04.057,20220830 04:38:06.015
foraging_dive,20220830 04:37:56.267,20220830 04:37:57.765
surface_seizing,20220830 04:37:57.780,20220830 04:38:04.035
surface_seizing,20220830 04:38:06.032,20220830 04:38:11.394
foraging_dive,20220830 04:38:11.398,20220830 04:38:14.751
foraging_dive,20220830 04:38:19.522,20220830 04:38:23.325
foraging_dive,20220830 04:38:32.428,20220830 04:38:35.099
surface_seizing,20220830 04:38:14.758,20220830 04:38:19.488
surface_seizing,20220830 04:38:23.330,20220830 04:38:32.419
stationary,20220830 04:38:37.996,20220830 04:38:40.609
surface_seizing,20220830 04:38:40.618,20220830 04:38:48.766
surface_seizing,20220830 04:38:35.103,20220830 04:38:37.990
foraging_dive,20220830 04:38:48.770,20220830 04:38:51.276
stationary,20220830 04:38:57.063,20220830 04:39:07.198
surface_seizing,20220830 04:38:51.280,20220830 04:38:57.058
surface_seizing,20220830 04:39:07.202,20220830 04:39:15.267
preening,20220830 04:39:15.272,20220830 04:39:18.767
surface_seizing,20220830 04:39:31.125,20220830 04:39:32.867
stationary,20220830 04:39:20.252,20220830 04:39:31.120
unknown,20220830 04:39:18.770,20220830 04:39:20.246
surface_seizing,20220830 04:39:37.982,20220830 04:39:39.860
surface_seizing,20220830 04:39:56.455,20220830 04:39:59.576
surface_seizing,20220830 04:40:14.942,20220830 04:40:23.211
stationary,20220830 04:39:59.581,20220830 04:40:14.935
stationary,20220830 04:39:39.864,20220830 04:39:56.451
stationary,20220830 04:39:32.871,20220830 04:39:37.975
surface_seizing,20220830 04:40:27.184,20220830 04:40:31.877
foraging_dive,20220830 04:40:34.432,20220830 04:40:37.737
unknown,20220830 04:40:37.741,20220830 04:40:41.895
foraging_dive,20220830 04:40:50.985,20220830 04:40:52.383
surface_seizing,20220830 04:40:45.192,20220830 04:40:48.288
stationary,20220830 04:40:41.900,20220830 04:40:45.189
stationary,20220830 04:40:48.294,20220830 04:40:50.978
foraging_dive,20220830 04:41:04.684,20220830 04:41:06.349
foraging_dive,20220830 04:41:07.210,20220830 04:41:09.402
stationary,20220830 04:41:06.356,20220830 04:41:07.204
surface_seizing,20220830 04:41:09.404,20220830 04:41:12.802
surface_seizing,20220830 04:40:58.830,20220830 04:41:04.681
stationary,20220830 04:40:55.145,20220830 04:40:58.825
surface_seizing,20220830 04:40:52.391,20220830 04:40:55.139
stationary,20220830 04:41:12.806,20220830 04:41:16.369
surface_seizing,20220830 04:41:16.374,20220830 04:41:17.601
stationary,20220830 04:41:17.606,20220830 04:41:42.500
surface_seizing,20220830 04:43:32.826,20220830 04:43:46.811
unknown,20220830 04:43:46.817,20220830 04:43:51.007
preening,20220830 04:44:13.005,20220830 04:44:17.120
stationary,20220830 04:44:17.133,20220830 04:44:58.654
surface_seizing,20220830 04:43:51.019,20220830 04:44:12.994
preening,20220830 04:44:58.665,20220830 04:45:21.437
preening,20220830 04:45:32.812,20220830 04:48:22.044
stationary,20220830 04:45:21.449,20220830 04:45:32.804
stationary,20220830 04:48:22.059,20220830 04:48:32.355
stationary,20220830 07:06:56.665,20220830 07:07:00.535
unknown,20220830 07:06:54.527,20220830 07:06:56.659
flight_take_off,20220830 07:07:00.540,20220830 07:07:03.753
flight_cruising,20220830 07:07:03.756,20220830 07:07:11.005
unknown,20220830 07:07:11.009,20220830 07:07:12.458
flight_cruising,20220829 21:39:04.910,20220829 21:40:25.983
flight_cruising,20220829 21:40:29.520,20220829 21:41:10.533
flight_cruising,20220829 21:38:45.771,20220829 21:39:02.894
flight_cruising,20220829 21:38:35.119,20220829 21:38:44.892
preening,20220829 21:36:15.823,20220829 21:36:21.893
stationary,20220829 21:36:08.538,20220829 21:36:15.813
stationary,20220829 21:36:21.916,20220829 21:37:43.976
unknown,20220829 21:37:43.987,20220829 21:37:47.033
unknown,20220829 21:38:09.172,20220829 21:38:11.793
stationary,20220829 21:37:47.057,20220829 21:38:09.157
stationary,20220829 21:38:11.802,20220829 21:38:20.946
flight_take_off,20220829 21:38:20.950,20220829 21:38:24.670
unknown,20220829 21:38:32.078,20220829 21:38:35.111
unknown,20220829 21:38:44.895,20220829 21:38:45.768
unknown,20220829 21:39:02.903,20220829 21:39:04.901
unknown,20220829 21:40:25.998,20220829 21:40:29.508
unknown,20220829 22:22:35.758,20220829 22:22:42.559
stationary,20220829 22:22:06.689,20220829 22:22:35.720
preening,20220830 21:57:29.797,20220830 22:00:06.965
flight_take_off,20220902 20:51:58.939,20220902 20:52:00.851
flight_cruising,20220902 20:52:00.854,20220902 20:52:07.971
unknown,20220902 20:52:07.976,20220902 20:52:24.722
stationary,20220902 20:52:24.727,20220902 20:53:01.431
stationary,20220903 00:22:21.247,20220903 00:22:28.081
flight_take_off,20220903 00:22:28.098,20220903 00:22:31.847
flight_cruising,20220903 00:22:31.861,20220903 00:22:51.389
stationary,20220903 00:22:51.399,20220903 00:23:13.070
flight_take_off,20220903 00:23:13.079,20220903 00:23:15.795
flight_cruising,20220903 00:23:15.802,20220903 00:23:21.287
flight_take_off,20220903 00:23:26.950,20220903 00:23:29.412
unknown,20220903 00:23:21.303,20220903 00:23:26.943
unknown,20220903 00:23:29.416,20220903 00:23:57.047
stationary,20220903 00:23:57.051,20220903 00:24:31.367
unknown,20220903 06:03:51.973,20220903 06:04:06.413
flight_take_off,20220903 06:04:06.421,20220903 06:04:11.821
unknown,20220903 06:04:22.002,20220903 06:04:23.241
flight_cruising,20220903 06:04:11.831,20220903 06:04:21.991
flight_cruising,20220903 06:04:23.247,20220903 06:04:48.278
unknown,20220903 06:04:48.286,20220903 06:05:04.374
foraging_dive,20220904 03:36:11.531,20220904 03:36:24.307
foraging_dive,20220904 03:36:01.407,20220904 03:36:07.695
unknown,20220902 20:30:03.400,20220902 20:30:06.165
flight_cruising,20220902 20:28:52.929,20220902 20:30:03.381
unknown,20220902 20:49:05.684,20220902 20:49:07.262
flight_cruising,20220902 20:49:07.272,20220902 20:50:59.637
unknown,20220902 20:50:59.641,20220902 20:51:01.219
flight_cruising,20220902 20:51:01.225,20220902 20:52:23.573
unknown,20220902 20:52:23.577,20220902 20:52:25.354
flight_cruising,20220902 20:52:25.358,20220902 20:53:13.386
flight_cruising,20220903 01:21:27.989,20220903 01:22:17.422
unknown,20220903 01:22:17.439,20220903 01:22:19.798
unknown,20220912 23:04:45.257,20220912 23:04:51.752
stationary,20220912 23:04:51.782,20220912 23:07:29.458
foraging_dive,20220913 04:16:19.237,20220913 04:16:33.248
stationary,20220913 04:16:09.508,20220913 04:16:15.860
unknown,20220913 04:16:15.868,20220913 04:16:17.346
stationary,20220913 04:16:17.349,20220913 04:16:19.231
preening,20220913 04:16:48.515,20220913 04:17:26.928
stationary,20220913 04:17:26.932,20220913 04:17:39.621
preening,20220913 04:17:39.627,20220913 04:18:06.972
stationary,20220913 04:18:07.000,20220913 04:19:23.659
preening,20220913 04:19:48.286,20220913 04:19:50.793
stationary,20220913 04:19:36.872,20220913 04:19:42.529
preening,20220913 04:19:53.521,20220913 04:19:55.765
preening,20220913 04:19:58.233,20220913 04:20:01.133
preening,20220913 04:20:37.398,20220913 04:20:55.514
stationary,20220913 04:19:45.244,20220913 04:19:48.283
unknown,20220913 04:19:42.533,20220913 04:19:45.238
stationary,20220913 04:19:50.797,20220913 04:19:53.514
stationary,20220913 04:19:55.770,20220913 04:19:58.228
stationary,20220913 04:20:01.137,20220913 04:20:25.064
preening,20220913 04:20:25.067,20220913 04:20:28.072
stationary,20220913 04:20:28.076,20220913 04:20:37.391
stationary,20220913 04:20:55.521,20220913 04:21:00.505
preening,20220913 04:22:36.637,20220913 04:22:55.382
unknown,20220913 04:22:34.486,20220913 04:22:36.626
stationary,20220913 04:22:29.733,20220913 04:22:34.480
preening,20220913 05:18:40.234,20220913 05:18:43.807
stationary,20220913 05:18:27.800,20220913 05:18:33.833
unknown,20220913 05:18:33.845,20220913 05:18:36.387
stationary,20220913 05:18:36.395,20220913 05:18:40.226
stationary,20220913 05:18:43.811,20220913 05:19:05.700
preening,20220913 05:19:31.742,20220913 05:19:34.232
stationary,20220913 05:19:34.236,20220913 05:19:52.523
stationary,20220913 05:19:22.986,20220913 05:19:27.096
unknown,20220913 05:19:27.104,20220913 05:19:31.737
stationary,20220913 05:22:19.999,20220913 05:22:35.186
unknown,20220913 05:23:04.998,20220913 05:23:10.156
surface_seizing,20220913 05:22:56.244,20220913 05:23:04.990
stationary,20220913 05:23:10.165,20220913 05:23:19.458
stationary,20220913 06:48:05.300,20220913 06:48:26.630
surface_seizing,20220913 06:52:17.881,20220913 06:52:39.261
unknown,20220913 06:52:11.206,20220913 06:52:17.870
surface_seizing,20220913 06:52:52.053,20220913 06:53:00.396
stationary,20220913 06:53:04.906,20220913 06:56:49.400
unknown,20220913 06:56:49.408,20220913 06:57:02.443
flight_cruising,20220913 08:48:45.726,20220913 08:50:51.423
flight_cruising,20220913 08:50:53.868,20220913 08:53:01.357
unknown,20220913 08:50:51.431,20220913 08:50:53.864
unknown,20220913 08:48:43.547,20220913 08:48:45.720
unknown,20220913 20:45:27.431,20220913 20:45:29.946
unknown,20220913 20:45:43.123,20220913 20:45:57.814
stationary,20220913 20:45:29.953,20220913 20:45:43.110
stationary,20220913 20:45:57.823,20220913 20:46:49.476
unknown,20220915 21:01:40.187,20220915 21:01:42.967
unknown,20220915 21:00:59.605,20220915 21:01:02.915
flight_cruising,20220915 21:01:02.917,20220915 21:01:40.182
flight_cruising,20220915 21:00:48.634,20220915 21:00:59.603
flight_take_off,20220915 21:00:44.963,20220915 21:00:48.631
unknown,20220915 23:04:15.413,20220915 23:04:17.241
surface_seizing,20220915 23:04:25.051,20220915 23:04:33.931
foraging_dive,20220915 23:04:33.933,20220915 23:04:35.572
stationary,20220915 23:04:17.246,20220915 23:04:25.044
surface_seizing,20220915 23:03:49.502,20220915 23:03:58.054
stationary,20220915 23:03:58.061,20220915 23:04:01.356
preening,20220915 23:03:44.858,20220915 23:03:49.495
surface_seizing,20220915 23:03:38.246,20220915 23:03:40.529
stationary,20220915 23:03:40.534,20220915 23:03:44.849
stationary,20220915 23:04:13.088,20220915 23:04:15.407
flight_cruising,20220915 20:26:27.398,20220915 20:27:18.641
flight_cruising,20220915 20:27:19.759,20220915 20:28:25.001
flight_cruising,20220915 20:28:29.887,20220915 20:30:56.566
unknown,20220915 20:28:25.013,20220915 20:28:29.872
unknown,20220915 20:26:24.852,20220915 20:26:27.384
unknown,20220915 20:27:18.645,20220915 20:27:19.756
flight_cruising,20220915 23:47:27.509,20220915 23:47:29.007
surface_seizing,20220915 23:47:31.681,20220915 23:47:33.257
surface_seizing,20220915 23:47:34.856,20220915 23:47:36.276
unknown,20220915 23:47:29.011,20220915 23:47:31.677
unknown,20220915 23:47:33.260,20220915 23:47:34.852
stationary,20220915 23:47:36.278,20220915 23:47:52.822
surface_seizing,20220915 23:47:52.825,20220915 23:47:54.643
stationary,20220915 23:47:54.644,20220915 23:48:38.763
unknown,20220915 23:48:38.766,20220915 23:48:39.756
stationary,20220915 23:48:39.759,20220915 23:48:41.327
unknown,20220915 23:48:41.329,20220915 23:48:41.672
unknown,20220916 00:00:12.291,20220916 00:00:33.096
stationary,20220916 00:00:33.099,20220916 00:00:38.880
flight_take_off,20220916 00:00:38.883,20220916 00:00:41.528
unknown,20220916 00:02:12.413,20220916 00:02:14.555
flight_cruising,20220916 00:02:14.559,20220916 00:02:16.163
stationary,20220916 00:02:16.166,20220916 00:02:29.077
flight_take_off,20220916 00:02:29.079,20220916 00:02:31.410
stationary,20220916 00:03:04.800,20220916 00:03:49.580
flight_take_off,20220916 00:03:49.582,20220916 00:03:51.363
stationary,20220916 00:04:04.956,20220916 00:05:11.472
stationary,20220916 04:40:48.715,20220916 04:40:54.115
bathing,20220916 04:40:54.126,20220916 04:41:03.023
stationary,20220916 04:41:03.039,20220916 04:41:08.058
unknown,20220916 04:41:08.072,20220916 04:41:09.533
stationary,20220917 20:44:15.787,20220917 20:46:10.310
stationary,20220917 20:46:13.021,20220917 20:46:29.880
flight_take_off,20220917 20:46:29.885,20220917 20:46:32.293
flight_cruising,20220917 20:48:03.606,20220917 20:49:17.531
flight_cruising,20220917 20:47:07.527,20220917 20:48:01.544
flight_cruising,20220917 20:46:59.348,20220917 20:47:06.566
flight_cruising,20220917 20:46:48.170,20220917 20:46:57.239
unknown,20220917 20:48:01.548,20220917 20:48:03.600
unknown,20220917 20:47:06.569,20220917 20:47:07.524
unknown,20220917 20:46:57.244,20220917 20:46:59.340
unknown,20220917 20:46:46.705,20220917 20:46:48.162
flight_take_off,20220917 23:42:48.855,20220917 23:42:51.122
flight_cruising,20220917 23:41:23.555,20220917 23:41:34.076
flight_take_off,20220917 23:41:18.345,20220917 23:41:23.552
unknown,20220917 23:40:17.510,20220917 23:40:20.137
preening,20220917 23:40:54.679,20220917 23:40:59.213
stationary,20220917 23:40:59.219,20220917 23:41:18.339
stationary,20220917 23:40:20.143,20220917 23:40:54.674
stationary,20220918 01:09:45.507,20220918 01:09:48.588
foraging_dive,20220918 01:10:04.832,20220918 01:10:06.657
stationary,20220918 01:09:58.281,20220918 01:10:04.830
unknown,20220918 01:09:56.895,20220918 01:09:58.279
stationary,20220918 01:10:06.659,20220918 01:10:12.592
flight_take_off,20220918 01:10:12.594,20220918 01:10:15.959
stationary,20220918 01:10:15.962,20220918 01:10:30.700
flight_take_off,20220918 01:10:30.702,20220918 01:10:32.362
flight_cruising,20220918 01:10:32.364,20220918 01:10:34.062
stationary,20220918 01:10:34.064,20220918 01:10:42.025
stationary,20220918 01:10:44.122,20220918 01:10:48.948
foraging_dive,20220918 01:10:42.027,20220918 01:10:44.120
stationary,20220918 01:10:54.224,20220918 01:11:00.960
flight_take_off,20220918 01:11:00.964,20220918 01:11:03.822
flight_cruising,20220918 01:11:03.824,20220918 01:11:14.327
surface_seizing,20220918 01:11:14.329,20220918 01:11:16.984
stationary,20220918 01:11:16.986,20220918 01:11:22.958
flight_take_off,20220918 01:11:22.961,20220918 01:11:24.912
stationary,20220918 01:11:38.867,20220918 01:12:08.944
flight_take_off,20220918 01:12:08.945,20220918 01:12:10.056
flight_take_off,20220918 01:12:16.035,20220918 01:12:18.126
flight_cruising,20220918 01:12:18.128,20220918 01:12:25.890
preening,20220918 01:14:17.609,20220918 01:14:47.371
unknown,20220918 01:13:17.236,20220918 01:13:19.200
flight_take_off,20220918 01:12:57.836,20220918 01:12:59.906
flight_cruising,20220918 01:12:59.909,20220918 01:13:05.607
unknown,20220918 01:12:37.273,20220918 01:12:38.678
surface_seizing,20220918 01:12:25.891,20220918 01:12:27.289
surface_seizing,20220918 01:12:10.058,20220918 01:12:11.089
stationary,20220918 01:12:11.091,20220918 01:12:16.032
stationary,20220918 01:12:27.292,20220918 01:12:37.270
stationary,20220918 01:12:38.682,20220918 01:12:57.834
unknown,20220918 01:13:05.625,20220918 01:13:07.346
stationary,20220918 01:13:07.349,20220918 01:13:17.234
stationary,20220918 01:13:19.204,20220918 01:14:17.602
unknown,20220918 07:44:22.763,20220918 07:49:23.688
flight_cruising,20220918 09:05:55.983,20220918 09:10:57.513
flight_cruising,20220827 03:40:19.305,20220827 03:40:26.702
unknown,20220827 03:40:26.707,20220827 03:40:29.000
flight_cruising,20220827 03:41:00.628,20220827 03:42:27.521
unknown,20220827 03:40:57.904,20220827 03:41:00.622
flight_cruising,20220828 21:11:34.954,20220828 21:12:14.987
flight_cruising,20220828 21:12:17.294,20220828 21:14:11.493
unknown,20220828 21:11:33.831,20220828 21:11:34.951
unknown,20220828 21:12:14.991,20220828 21:12:17.292
unknown,20220829 21:48:50.644,20220829 21:48:52.093
flight_cruising,20220829 21:48:35.332,20220829 21:48:50.642
unknown,20220904 03:35:55.364,20220904 03:36:01.398
unknown,20220904 03:36:07.704,20220904 03:36:11.517
unknown,20220904 03:36:24.316,20220904 03:37:37.267
unknown,20220904 03:37:48.674,20220904 03:38:24.457
unknown,20220913 04:16:33.257,20220913 04:16:48.490
surface_seizing,20220915 23:02:52.408,20220915 23:03:01.781
unknown,20220915 23:03:13.696,20220915 23:03:24.533
