event_type,start,end
foraging_dive,20200913 07:01:46.960,20200913 07:01:52.714
foraging_dive,20200913 07:02:05.221,20200913 07:02:09.982
foraging_dive,20200913 07:02:22.267,20200913 07:02:27.337
foraging_dive,20200913 07:02:27.340,20200913 07:02:32.850
foraging_dive,20200913 07:02:32.852,20200913 07:02:36.088
foraging_dive,20200913 07:00:23.497,20200913 07:00:26.538
foraging_dive,20200913 06:59:59.972,20200913 07:00:04.347
foraging_dive,20200913 07:00:04.357,20200913 07:00:09.793
foraging_dive,20200913 06:59:50.327,20200913 06:59:56.703
foraging_dive,20200913 06:59:17.780,20200913 06:59:21.718
foraging_dive,20200913 06:58:55.435,20200913 06:58:58.550
foraging_dive,20200913 06:58:58.554,20200913 06:59:03.391
foraging_dive,20200913 06:59:03.398,20200913 06:59:06.623
foraging_dive,20200913 07:01:13.515,20200913 07:01:17.021
foraging_dive,20200913 07:01:23.862,20200913 07:01:26.871
foraging_dive,20200913 07:04:16.150,20200913 07:04:20.429
foraging_dive,20200913 07:06:48.032,20200913 07:06:51.436
foraging_dive,20200913 07:07:00.717,20200913 07:07:06.246
foraging_dive,20200913 07:07:17.574,20200913 07:07:19.482
foraging_dive,20200913 07:07:32.238,20200913 07:07:39.276
foraging_dive,20200913 07:07:52.955,20200913 07:07:56.413
foraging_dive,20200913 07:07:56.415,20200913 07:08:00.505
foraging_dive,20200913 07:08:17.245,20200913 07:08:22.262
foraging_dive,20200913 07:08:31.194,20200913 07:08:36.589
foraging_dive,20200913 07:08:36.591,20200913 07:08:41.425
foraging_dive,20200913 07:10:04.278,20200913 07:10:11.625
surface_seizing,20200913 07:10:20.711,20200913 07:10:24.832
flight_cruising,20200913 07:09:40.151,20200913 07:09:51.223
foraging_dive,20200913 07:09:51.226,20200913 07:09:55.279
foraging_dive,20200913 07:11:11.841,20200913 07:11:16.274
foraging_dive,20200913 07:14:25.841,20200913 07:14:33.538
surface_seizing,20200913 07:13:38.501,20200913 07:13:42.330
foraging_dive,20200913 07:15:03.162,20200913 07:15:07.915
foraging_dive,20200913 07:15:07.918,20200913 07:15:12.644
foraging_dive,20200913 07:15:31.876,20200913 07:15:40.039
foraging_dive,20200913 07:42:13.334,20200913 07:42:27.045
foraging_dive,20200913 07:41:02.211,20200913 07:41:05.254
foraging_dive,20200913 07:43:03.694,20200913 07:43:13.177
surface_seizing,20200913 07:43:25.100,20200913 07:43:33.518
foraging_dive,20200913 07:46:53.547,20200913 07:47:00.743
foraging_dive,20200913 07:49:13.913,20200913 07:49:22.022
stationary,20200906 21:12:04.703,20200906 21:13:00.298
stationary,20200906 22:12:04.672,20200906 22:13:00.532
stationary,20200906 22:58:40.690,20200906 22:59:45.265
stationary,20200906 23:58:49.628,20200906 23:59:45.306
stationary,20200907 00:58:49.643,20200907 00:59:45.304
unknown,20200907 02:03:14.937,20200907 02:04:19.318
flight_cruising,20200907 03:01:03.656,20200907 03:02:00.598
stationary,20200907 04:01:05.653,20200907 04:02:01.272
stationary,20200907 05:01:05.542,20200907 05:02:01.385
flight_cruising,20200907 06:04:48.967,20200907 06:05:35.122
stationary,20200822 21:12:04.612,20200822 21:13:00.549
stationary,20200822 22:12:04.565,20200822 22:13:00.687
stationary,20200822 23:12:04.655,20200822 23:13:00.580
bathing,20200823 01:12:07.922,20200823 01:12:51.620
flight_cruising,20200823 01:46:47.720,20200823 01:47:52.520
unknown,20200823 02:46:56.578,20200823 02:47:52.627
stationary,20200823 04:46:56.680,20200823 04:47:52.615
flight_cruising,20200823 05:46:56.637,20200823 05:47:52.579
flight_cruising,20200823 06:12:39.593,20200823 06:13:37.570
flight_cruising,20200823 07:12:41.634,20200823 07:13:37.588
unknown,20200823 08:12:42.731,20200823 08:13:38.493
flight_cruising,20200823 09:12:42.550,20200823 09:13:38.414
stationary,20200827 23:01:57.538,20200827 23:09:59.924
flight_cruising,20200823 00:12:04.607,20200823 00:13:00.554
flight_cruising,20200823 03:46:56.621,20200823 03:47:52.621
flight_take_off,20200827 20:24:56.785,20200827 20:24:58.522
flight_take_off,20200827 21:49:30.935,20200827 21:49:33.387
stationary,20200827 22:22:52.117,20200827 22:24:21.448
stationary,20200827 22:53:30.535,20200827 22:55:17.032
flight_take_off,20200827 23:09:59.928,20200827 23:10:02.238
flight_take_off,20200912 23:06:19.243,20200912 23:06:20.570
flight_cruising,20200912 23:06:20.571,20200912 23:06:25.837
flight_take_off,20200912 23:06:42.784,20200912 23:06:45.412
flight_cruising,20200912 23:06:45.416,20200912 23:06:49.649
unknown,20200912 23:06:49.659,20200912 23:06:51.425
flight_take_off,20200912 23:07:02.951,20200912 23:07:05.497
surface_seizing,20200912 23:06:51.427,20200912 23:07:02.948
flight_cruising,20200912 23:07:05.500,20200912 23:07:14.244
flight_take_off,20200912 23:07:23.685,20200912 23:07:24.992
flight_cruising,20200912 23:07:25.010,20200912 23:07:31.734
flight_take_off,20200912 23:07:39.963,20200912 23:07:42.351
flight_cruising,20200912 23:07:42.353,20200912 23:07:56.498
surface_seizing,20200912 23:07:56.501,20200912 23:07:59.613
flight_take_off,20200912 23:07:59.617,20200912 23:08:01.732
flight_cruising,20200912 23:08:01.743,20200912 23:08:09.476
flight_take_off,20200912 23:08:11.692,20200912 23:08:13.133
flight_cruising,20200912 23:08:13.134,20200912 23:08:15.477
stationary,20200912 23:08:09.484,20200912 23:08:11.689
flight_take_off,20200912 23:08:24.767,20200912 23:08:28.029
unknown,20200913 02:15:47.675,20200913 02:16:43.496
foraging_dive,20200913 06:55:50.718,20200913 06:55:54.693
unknown,20200913 06:55:54.703,20200913 06:56:01.289
foraging_dive,20200913 06:56:22.058,20200913 06:56:27.131
unknown,20200913 06:56:09.394,20200913 06:56:17.623
unknown,20200913 06:56:27.133,20200913 06:56:34.842
surface_seizing,20200913 06:56:42.137,20200913 06:56:47.672
foraging_dive,20200913 06:56:53.129,20200913 06:56:58.355
flight_take_off,20200913 06:56:59.911,20200913 06:57:01.204
stationary,20200913 06:56:58.357,20200913 06:56:59.905
unknown,20200913 06:57:01.207,20200913 06:57:04.744
surface_seizing,20200913 06:57:04.745,20200913 06:57:07.219
surface_seizing,20200913 06:57:13.825,20200913 06:57:16.805
unknown,20200913 06:57:23.338,20200913 06:57:27.780
surface_seizing,20200913 06:57:21.204,20200913 06:57:23.332
foraging_dive,20200913 06:57:31.017,20200913 06:57:34.103
unknown,20200913 06:57:37.953,20200913 06:57:43.925
unknown,20200913 06:57:48.641,20200913 06:57:51.919
unknown,20200913 06:58:03.845,20200913 06:58:10.988
body_shaking,20200913 06:58:14.986,20200913 06:58:16.296
surface_seizing,20200913 06:58:35.278,20200913 06:58:47.914
foraging_dive,20200913 06:58:47.920,20200913 06:58:52.053
surface_seizing,20200913 06:58:52.062,20200913 06:58:55.425
foraging_dive,20200913 06:59:14.792,20200913 06:59:17.775
unknown,20200913 06:59:06.632,20200913 06:59:14.789
flight_cruising,20200913 06:59:26.957,20200913 06:59:28.760
unknown,20200913 06:59:24.132,20200913 06:59:26.954
stationary,20200913 06:59:21.721,20200913 06:59:24.127
foraging_dive,20200913 07:00:26.541,20200913 07:00:30.403
foraging_dive,20200913 07:00:43.105,20200913 07:00:47.381
foraging_dive,20200913 07:00:47.386,20200913 07:00:52.420
foraging_dive,20200913 07:00:52.423,20200913 07:00:56.701
unknown,20200913 07:01:17.023,20200913 07:01:23.860
foraging_dive,20200913 07:01:29.320,20200913 07:01:31.987
body_shaking,20200913 06:59:42.607,20200913 06:59:44.614
unknown,20200913 06:59:36.673,20200913 06:59:42.601
surface_seizing,20200913 06:59:44.624,20200913 06:59:50.316
surface_seizing,20200913 06:59:56.712,20200913 06:59:59.967
foraging_dive,20200913 07:00:12.723,20200913 07:00:15.258
surface_seizing,20200913 07:00:09.799,20200913 07:00:12.716
unknown,20200913 07:00:15.264,20200913 07:00:23.494
surface_seizing,20200913 07:00:30.407,20200913 07:00:38.213
unknown,20200913 07:00:56.705,20200913 07:01:13.510
foraging_dive,20200913 07:01:26.875,20200913 07:01:29.317
unknown,20200913 07:01:31.991,20200913 07:01:46.958
unknown,20200913 07:01:52.716,20200913 07:02:05.211
unknown,20200913 07:02:09.989,20200913 07:02:22.265
foraging_dive,20200913 07:02:36.091,20200913 07:02:38.419
unknown,20200913 07:02:38.422,20200913 07:02:49.245
foraging_dive,20200913 07:02:51.948,20200913 07:02:54.099
foraging_dive,20200913 07:02:54.103,20200913 07:02:57.296
unknown,20200913 07:02:57.300,20200913 07:03:26.009
foraging_dive,20200913 07:03:29.711,20200913 07:03:32.275
surface_seizing,20200913 07:03:32.277,20200913 07:03:39.310
stationary,20200913 07:03:39.311,20200913 07:03:42.376
flight_take_off,20200913 07:03:43.919,20200913 07:03:45.271
flight_cruising,20200913 07:03:45.276,20200913 07:03:52.751
surface_seizing,20200913 07:03:42.378,20200913 07:03:43.915
foraging_dive,20200913 07:03:56.544,20200913 07:03:58.599
surface_seizing,20200913 07:03:52.758,20200913 07:03:56.541
surface_seizing,20200913 07:04:02.952,20200913 07:04:16.132
foraging_dive,20200913 07:04:20.432,20200913 07:04:23.943
surface_seizing,20200913 07:04:28.215,20200913 07:04:30.451
unknown,20200913 07:04:34.396,20200913 07:05:38.012
unknown,20200913 07:06:41.937,20200913 07:06:48.030
stationary,20200913 07:06:35.511,20200913 07:06:41.923
foraging_dive,20200913 07:06:52.424,20200913 07:06:54.955
surface_seizing,20200913 07:06:51.437,20200913 07:06:52.422
foraging_dive,20200913 07:06:56.582,20200913 07:06:58.002
surface_seizing,20200913 07:06:54.957,20200913 07:06:56.580
flight_cruising,20200913 07:06:58.569,20200913 07:07:00.715
stationary,20200913 07:06:58.003,20200913 07:06:58.566
surface_seizing,20200913 07:07:08.574,20200913 07:07:17.573
unknown,20200913 07:07:06.247,20200913 07:07:07.111
stationary,20200913 07:07:07.112,20200913 07:07:08.572
foraging_dive,20200913 07:07:19.483,20200913 07:07:22.107
foraging_dive,20200913 07:07:22.108,20200913 07:07:23.639
unknown,20200913 07:07:23.640,20200913 07:07:26.991
surface_seizing,20200913 07:07:26.996,20200913 07:07:32.235
unknown,20200913 07:07:39.278,20200913 07:07:42.911
surface_seizing,20200913 07:07:42.915,20200913 07:07:45.381
flight_take_off,20200913 07:07:45.384,20200913 07:07:45.980
flight_cruising,20200913 07:07:45.982,20200913 07:07:52.222
surface_seizing,20200913 07:07:52.225,20200913 07:07:52.954
foraging_dive,20200913 07:08:00.507,20200913 07:08:03.852
surface_seizing,20200913 07:08:03.858,20200913 07:08:10.922
flight_cruising,20200913 07:08:13.557,20200913 07:08:15.879
surface_seizing,20200913 07:08:15.888,20200913 07:08:17.238
unknown,20200913 07:08:10.928,20200913 07:08:13.549
flight_cruising,20200913 07:08:25.699,20200913 07:08:31.193
surface_seizing,20200913 07:08:22.273,20200913 07:08:25.691
surface_seizing,20200913 07:08:41.429,20200913 07:08:42.898
flight_cruising,20200913 07:08:42.901,20200913 07:08:50.829
surface_seizing,20200913 07:08:50.831,20200913 07:09:06.373
stationary,20200913 07:09:36.540,20200913 07:09:40.148
flight_cruising,20200913 07:09:55.282,20200913 07:10:01.196
surface_seizing,20200913 07:10:01.200,20200913 07:10:04.276
unknown,20200913 07:10:11.629,20200913 07:10:20.707
unknown,20200913 07:10:24.833,20200913 07:10:28.092
surface_seizing,20200913 07:10:28.093,20200913 07:10:33.181
surface_seizing,20200913 07:10:40.154,20200913 07:10:50.489
flight_cruising,20200913 07:10:33.187,20200913 07:10:40.150
flight_cruising,20200913 07:10:50.490,20200913 07:10:53.691
surface_seizing,20200913 07:10:53.693,20200913 07:10:57.387
flight_cruising,20200913 07:10:57.389,20200913 07:11:07.222
surface_seizing,20200913 07:11:07.224,20200913 07:11:11.840
surface_seizing,20200913 07:11:16.285,20200913 07:11:18.106
unknown,20200828 06:04:25.824,20200828 06:05:23.646
unknown,20200828 04:41:59.339,20200828 04:43:02.322
stationary,20200907 06:04:37.525,20200907 06:04:46.947
flight_take_off,20200907 06:04:46.952,20200907 06:04:48.961
stationary,20200907 06:05:35.148,20200907 06:05:41.144
stationary,20200823 01:12:04.513,20200823 01:12:07.912
unknown,20200823 01:12:51.649,20200823 01:13:00.602
flight_cruising,20200913 07:13:42.334,20200913 07:13:52.804
foraging_dive,20200913 07:13:54.917,20200913 07:13:57.633
surface_seizing,20200913 07:13:52.807,20200913 07:13:54.914
stationary,20200913 07:14:04.786,20200913 07:14:10.922
unknown,20200913 07:14:10.930,20200913 07:14:12.683
surface_seizing,20200913 07:13:57.637,20200913 07:14:01.122
unknown,20200913 07:14:01.126,20200913 07:14:04.776
stationary,20200913 07:14:12.695,20200913 07:14:23.570
flight_cruising,20200913 07:14:23.572,20200913 07:14:25.838
unknown,20200913 07:14:33.541,20200913 07:14:34.684
stationary,20200913 07:14:34.685,20200913 07:14:40.100
unknown,20200913 07:14:40.102,20200913 07:14:41.276
unknown,20200913 07:14:44.739,20200913 07:14:46.519
stationary,20200913 07:14:41.280,20200913 07:14:44.736
stationary,20200913 07:14:46.522,20200913 07:14:50.772
flight_cruising,20200913 07:14:52.703,20200913 07:15:03.158
unknown,20200913 07:14:50.776,20200913 07:14:52.701
stationary,20200913 07:15:12.645,20200913 07:15:15.790
surface_seizing,20200913 07:15:15.794,20200913 07:15:31.873
unknown,20200913 07:15:40.042,20200913 07:16:08.927
preening,20200913 07:16:08.931,20200913 07:16:19.163
stationary,20200913 07:16:19.166,20200913 07:16:45.374
flight_cruising,20200913 07:40:49.517,20200913 07:41:00.165
surface_seizing,20200913 07:41:00.166,20200913 07:41:02.205
surface_seizing,20200913 07:41:05.258,20200913 07:41:10.482
unknown,20200913 07:41:10.484,20200913 07:41:11.917
stationary,20200913 07:41:11.919,20200913 07:41:48.695
unknown,20200913 07:41:48.698,20200913 07:41:50.462
stationary,20200913 07:41:50.464,20200913 07:41:54.692
unknown,20200913 07:41:54.700,20200913 07:41:57.427
surface_seizing,20200913 07:42:27.048,20200913 07:42:38.540
unknown,20200913 07:42:38.545,20200913 07:42:41.128
unknown,20200913 07:42:54.790,20200913 07:42:58.055
surface_seizing,20200913 07:42:49.982,20200913 07:42:54.787
stationary,20200913 07:42:41.133,20200913 07:42:49.977
flight_cruising,20200913 07:42:58.061,20200913 07:43:03.687
unknown,20200913 07:43:13.183,20200913 07:43:15.219
flight_cruising,20200913 07:43:15.228,20200913 07:43:25.089
stationary,20200913 07:43:33.524,20200913 07:43:36.480
unknown,20200913 07:43:36.482,20200913 07:43:39.124
preening,20200913 07:43:39.130,20200913 07:44:21.069
foraging_dive,20200913 07:46:17.539,20200913 07:46:25.678
unknown,20200913 07:46:25.682,20200913 07:46:27.006
flight_cruising,20200913 07:46:27.009,20200913 07:46:32.557
stationary,20200913 07:46:32.559,20200913 07:46:48.537
unknown,20200913 07:46:48.544,20200913 07:46:53.538
stationary,20200913 07:47:13.496,20200913 07:48:08.168
unknown,20200913 07:47:00.757,20200913 07:47:13.487
flight_cruising,20200913 07:49:24.006,20200913 07:49:31.614
unknown,20200913 07:49:22.024,20200913 07:49:24.005
foraging_dive,20200913 07:49:31.618,20200913 07:49:35.200
unknown,20200913 07:49:38.336,20200913 07:49:49.480
surface_seizing,20200913 07:49:35.209,20200913 07:49:38.324
stationary,20200913 07:49:49.481,20200913 07:49:55.362
flight_cruising,20200827 20:49:48.709,20200827 20:51:47.972
unknown,20200912 23:08:28.034,20200912 23:08:29.964
preening,20200912 23:09:00.417,20200912 23:09:31.236
unknown,20200912 23:08:39.692,20200912 23:09:00.408
unknown,20200913 06:58:16.301,20200913 06:58:23.413
unknown,20200913 06:59:28.763,20200913 06:59:32.100
unknown,20200913 07:09:06.380,20200913 07:09:07.619
