event_type,start,end
stationary,20180526 03:18:54.637,20180526 03:19:17.628
flying_active,20180526 03:19:17.630,20180526 03:19:38.312
bathing_poss,20180526 03:24:10.541,20180526 03:24:50.764
flying_active,20180526 03:33:17.215,20180526 03:33:41.254
flying_active,20180526 03:43:47.521,20180526 03:44:44.384
flying_active,20180526 04:06:11.680,20180526 04:07:08.387
flying_active,20180526 04:12:26.516,20180526 04:13:23.320
flying_active,20180526 04:19:12.515,20180526 04:20:09.374
flying_active,20180526 04:29:42.283,20180526 04:29:47.930
unknown,20180526 04:54:30.522,20180526 04:54:33.178
unknown,20180526 05:00:01.356,20180526 05:00:02.263
flying_active,20180526 05:27:14.505,20180526 05:28:11.248
unknown,20180526 05:32:47.683,20180526 05:33:44.342
flying_active,20180526 05:37:46.506,20180526 05:37:53.468
stationary,20180526 05:38:07.106,20180526 05:38:43.301
flying_active,20180526 05:40:50.494,20180526 05:41:32.869
flying_active,20180526 05:55:34.527,20180526 05:55:57.165
flying_active,20180526 06:06:50.585,20180526 06:07:38.313
flying_active,20180526 06:14:29.527,20180526 06:15:26.302
flying_active,20180526 06:17:04.730,20180526 06:17:24.685
flying_active,20180526 06:19:41.513,20180526 06:20:38.251
flying_active,20180526 06:22:35.501,20180526 06:23:24.878
flying_active,20180526 06:30:51.557,20180526 06:31:48.287
flying_active,20180526 06:32:56.187,20180526 06:33:12.358
flying_active,20180526 06:33:36.501,20180526 06:34:33.307
flying_active,20180526 06:38:34.402,20180526 06:39:02.391
flying_active,20180526 06:39:57.157,20180526 06:40:04.343
bathing,20180526 06:42:38.631,20180526 06:42:40.292
stationary,20180526 06:43:40.506,20180526 06:43:47.979
bathing,20180526 06:45:14.667,20180526 06:45:22.688
flying_active,20180526 06:53:41.194,20180526 06:54:01.300
flying_active,20180526 06:56:09.547,20180526 06:56:44.638
flying_active,20180526 06:55:48.539,20180526 06:55:53.974
flying_passive,20180526 06:55:53.979,20180526 06:56:01.517
flying_active,20180526 06:57:12.210,20180526 06:57:53.392
flying_passive,20180526 06:57:03.145,20180526 06:57:06.604
flying_passive,20180526 06:59:10.770,20180526 06:59:19.398
flying_active,20180526 06:59:19.408,20180526 06:59:23.481
flying_passive,20180526 07:00:10.486,20180526 07:00:29.982
flying_active,20180526 07:00:38.428,20180526 07:01:07.378
bathing,20180527 05:34:32.532,20180527 05:35:27.351
bathing,20180527 05:42:16.510,20180527 05:43:13.306
bathing,20180527 05:53:32.501,20180527 05:54:29.313
bathing,20180527 05:54:48.506,20180527 05:55:45.441
flying_active,20180527 05:56:33.195,20180527 05:56:46.115
unknown,20180527 07:11:33.523,20180527 07:11:45.656
unknown,20180528 00:50:14.734,20180528 00:51:11.383
flying_passive,20180528 06:20:32.518,20180528 06:20:39.264
flying_active,20180528 06:27:36.549,20180528 06:27:49.196
ground_stationary,20180528 06:28:01.161,20180528 06:28:33.301
ground_stationary,20180528 07:55:27.539,20180528 07:56:05.766
unknown,20180528 07:56:05.776,20180528 07:56:24.303
unknown,20180529 05:43:06.659,20180529 05:44:03.289
stationary,20180529 04:04:27.975,20180529 04:05:19.503
ground_stationary,20180529 04:01:04.832,20180529 04:01:47.320
ground_stationary,20180529 04:18:17.720,20180529 04:18:57.381
flying_active,20180529 04:18:00.542,20180529 04:18:06.933
flying_active,20180529 05:23:48.533,20180529 05:24:37.840
flying_passive,20180529 05:24:37.849,20180529 05:24:39.679
flying_active,20180529 05:24:39.687,20180529 05:24:45.322
flying_passive,20180529 05:27:50.968,20180529 05:28:24.333
flying_active,20180529 05:31:17.483,20180529 05:31:28.506
stationary,20180529 05:31:12.662,20180529 05:31:17.480
preening,20180529 05:46:25.324,20180529 05:47:17.331
flying_active,20180529 05:47:17.338,20180529 05:47:21.270
flying_active,20180529 05:50:52.557,20180529 05:51:02.925
flying_passive,20180529 05:51:25.302,20180529 05:51:30.150
flying_active,20180529 05:51:30.171,20180529 05:51:49.358
flying_passive,20180529 05:52:45.882,20180529 05:52:54.217
flying_active,20180529 05:52:54.221,20180529 05:53:14.098
flying_active,20180529 05:53:53.701,20180529 05:54:50.149
flying_passive,20180529 06:02:39.533,20180529 06:02:58.663
flying_passive,20180529 06:05:32.500,20180529 06:06:03.141
flying_passive,20180529 06:11:01.171,20180529 06:11:12.371
flying_passive,20180529 06:29:12.401,20180529 06:29:33.599
flying_active,20180529 06:29:05.015,20180529 06:29:12.398
flying_passive,20180529 06:29:01.513,20180529 06:29:05.013
flying_active,20180529 06:32:12.838,20180529 06:32:30.783
flying_active,20180529 06:32:33.672,20180529 06:32:40.941
flying_active,20180529 06:31:57.963,20180529 06:32:03.412
flying_passive,20180529 06:31:53.915,20180529 06:31:57.962
flying_passive,20180529 06:32:03.417,20180529 06:32:07.387
flying_passive,20180529 06:32:09.692,20180529 06:32:12.836
flying_active,20180529 06:32:07.390,20180529 06:32:09.689
flying_passive,20180529 06:32:30.786,20180529 06:32:33.669
flying_passive,20180529 06:32:40.944,20180529 06:32:45.784
flying_passive,20180529 06:32:58.149,20180529 06:33:02.502
flying_active,20180529 06:33:02.503,20180529 06:33:13.088
flying_passive,20180529 06:33:13.089,20180529 06:33:14.836
flying_active,20180529 06:33:14.837,20180529 06:33:45.567
flying_active,20180529 06:33:50.382,20180529 06:33:54.387
flying_active,20180529 06:34:38.059,20180529 06:34:40.714
flying_passive,20180529 06:34:28.190,20180529 06:34:38.056
flying_passive,20180529 06:34:45.213,20180529 06:34:54.223
flying_active,20180529 06:37:42.890,20180529 06:37:47.734
flying_active,20180529 06:37:52.040,20180529 06:37:59.310
flying_active,20180529 06:37:32.517,20180529 06:37:36.205
flying_passive,20180529 06:37:36.217,20180529 06:37:42.881
flying_passive,20180529 06:37:47.739,20180529 06:37:52.035
flying_passive,20180529 06:37:59.315,20180529 06:38:28.411
flying_passive,20180529 06:39:31.507,20180529 06:39:47.224
ground_stationary,20180529 06:42:01.327,20180529 06:42:15.372
flying_passive,20180529 06:41:18.591,20180529 06:41:59.370
flying_passive,20180529 06:43:09.712,20180529 06:43:50.674
flying_active,20180529 06:43:50.698,20180529 06:43:53.931
unknown,20180529 06:43:53.940,20180529 06:44:06.360
flying_active,20180529 06:45:44.501,20180529 06:45:49.827
flying_passive,20180529 06:45:49.836,20180529 06:45:51.796
flying_active,20180529 06:45:51.804,20180529 06:45:57.476
flying_passive,20180529 06:45:57.480,20180529 06:46:03.835
flying_active,20180529 06:46:12.635,20180529 06:46:23.088
ground_stationary,20180529 06:46:29.826,20180529 06:46:41.364
flying_active,20180529 06:47:13.577,20180529 06:47:32.080
ground_stationary,20180529 06:47:33.811,20180529 06:48:10.291
flying_active,20180529 06:57:09.396,20180529 06:57:12.911
flying_passive,20180529 06:57:16.631,20180529 06:57:35.490
flying_passive,20180529 06:57:38.836,20180529 06:57:44.944
flying_active,20180529 06:57:35.496,20180529 06:57:38.831
flying_active,20180529 06:57:01.209,20180529 06:57:04.679
flying_passive,20180529 06:57:04.684,20180529 06:57:09.392
flying_active,20180529 06:56:54.503,20180529 06:56:58.083
flying_passive,20180529 06:56:58.084,20180529 06:57:01.205
flying_passive,20180529 06:59:21.995,20180529 06:59:56.372
flying_passive,20180529 07:02:47.791,20180529 07:02:51.767
flying_active,20180529 07:02:51.773,20180529 07:03:02.218
flying_active,20180529 07:03:05.772,20180529 07:03:09.937
flying_active,20180529 07:03:12.304,20180529 07:03:19.961
flying_passive,20180529 07:03:02.230,20180529 07:03:05.763
flying_passive,20180529 07:03:09.946,20180529 07:03:12.299
flying_passive,20180529 07:03:19.964,20180529 07:03:23.302
flying_active,20180529 07:03:23.308,20180529 07:03:26.364
flying_active,20180529 07:03:52.513,20180529 07:03:58.633
flying_active,20180529 07:04:01.452,20180529 07:04:49.375
flying_active,20180529 07:05:21.508,20180529 07:06:18.382
flying_passive,20180529 07:07:21.381,20180529 07:07:27.704
flying_active,20180529 07:07:27.705,20180529 07:07:38.788
flying_passive,20180529 07:07:51.791,20180529 07:07:57.371
flying_active,20180529 07:36:21.494,20180529 07:36:38.680
ground_stationary,20180529 07:36:42.727,20180529 07:37:06.301
ground_stationary,20180529 07:42:04.969,20180529 07:42:51.371
ground_active,20180529 07:48:53.610,20180529 07:49:41.361
flying_active,20180529 07:55:05.519,20180529 07:55:59.533
flying_active,20180529 08:17:23.935,20180529 08:17:59.737
flying_active,20180529 08:19:09.511,20180529 08:19:29.224
flying_passive,20180529 08:19:59.835,20180529 08:20:07.308
flying_active,20180529 08:22:14.420,20180529 08:22:39.369
flying_active,20180529 08:24:05.511,20180529 08:24:17.903
flying_passive,20180529 08:24:17.909,20180529 08:24:33.993
ground_stationary,20180529 08:29:54.505,20180529 08:30:51.370
ground_stationary,20180529 08:37:56.565,20180529 08:38:26.304
ground_stationary,20180529 08:43:26.642,20180529 08:43:59.404
flying_active,20180529 08:50:10.505,20180529 08:50:52.279
flying_passive,20180529 08:51:56.312,20180529 08:52:00.079
flying_active,20180529 08:52:02.441,20180529 08:52:17.905
ground_stationary,20180529 08:52:23.091,20180529 08:52:51.303
foraging_poss,20180529 06:26:42.750,20180529 06:27:05.319
foraging_poss,20180529 06:38:09.510,20180529 06:38:12.467
flying_active,20180529 06:38:40.927,20180529 06:38:43.487
unknown,20180529 07:35:22.526,20180529 07:36:19.362
flying_active,20180529 08:27:23.459,20180529 08:27:34.524
ground_stationary,20180529 08:27:36.936,20180529 08:28:14.299
ground_stationary,20180529 08:45:06.640,20180529 08:45:59.300
unknown,20180529 19:01:58.721,20180529 19:02:55.468
flying_passive,20180529 19:05:24.413,20180529 19:05:31.844
flying_passive,20180529 19:05:34.528,20180529 19:06:02.782
ground_stationary,20180529 19:07:14.174,20180529 19:07:22.856
ground_stationary,20180529 19:07:32.613,20180529 19:07:37.299
ground_stationary,20180529 19:07:42.158,20180529 19:07:45.289
ground_stationary,20180529 19:07:56.353,20180529 19:08:02.914
flying_active,20180529 19:17:18.300,20180529 19:17:23.332
ground_stationary,20180529 19:16:26.514,20180529 19:17:11.591
flying_active,20180529 19:18:49.502,20180529 19:18:58.098
ground_stationary,20180529 19:19:00.823,20180529 19:19:45.271
ground_stationary,20180529 20:12:20.779,20180529 20:13:14.202
flying_active,20180529 21:37:05.542,20180529 21:37:59.527
flying_active,20180530 06:08:37.184,20180530 06:09:33.407
unknown,20180530 06:17:22.896,20180530 06:18:19.600
ground_stationary,20180530 06:23:54.056,20180530 06:24:43.552
ground_stationary,20180530 07:01:31.640,20180530 07:02:19.694
flying_active,20180530 07:04:15.985,20180530 07:04:24.154
flying_passive,20180530 07:04:24.635,20180530 07:04:28.209
flying_active,20180530 07:04:28.479,20180530 07:05:13.169
flying_active,20180530 07:05:44.705,20180530 07:06:40.928
flying_active,20180530 07:11:17.507,20180530 07:11:47.453
flying_active,20180530 07:10:55.242,20180530 07:11:10.789
flying_active,20180530 07:10:50.959,20180530 07:10:53.392
flying_passive,20180530 07:10:53.446,20180530 07:10:55.071
flying_active,20180530 07:14:39.660,20180530 07:15:36.364
forgaing_insect,20180530 07:18:09.499,20180530 07:18:13.396
forgaing_insect,20180530 07:18:20.058,20180530 07:18:23.767
flying_active,20180530 07:17:35.864,20180530 07:18:09.499
flying_active,20180530 07:18:13.458,20180530 07:18:19.995
flying_active,20180530 07:18:23.829,20180530 07:18:32.268
flying_active,20180530 07:20:58.687,20180530 07:21:20.582
flying_active,20180530 07:21:21.180,20180530 07:21:26.996
flying_active,20180530 07:21:31.016,20180530 07:21:55.390
flying_passive,20180530 07:21:27.253,20180530 07:21:30.075
flying_passive,20180530 07:21:20.582,20180530 07:21:21.095
flying_active,20180530 07:23:16.468,20180530 07:24:13.599
flying_active,20180530 07:24:27.711,20180530 07:24:45.201
flying_active,20180530 07:24:46.971,20180530 07:25:14.441
foraging_poss,20180530 07:25:15.905,20180530 07:25:19.411
forgaing_insect,20180530 07:24:45.201,20180530 07:24:46.971
flying_passive,20180530 07:25:14.451,20180530 07:25:15.896
flying_active,20180530 07:25:19.421,20180530 07:25:24.457
flying_active,20180530 07:26:09.529,20180530 07:26:16.007
flying_active,20180530 07:26:47.673,20180530 07:26:54.066
flying_active,20180530 07:26:56.974,20180530 07:27:06.724
bathing,20180530 07:26:20.284,20180530 07:26:47.310
flying_active,20180530 07:28:41.572,20180530 07:28:55.854
foraging_poss,20180530 07:28:55.875,20180530 07:29:01.328
flying_active,20180530 07:29:01.333,20180530 07:29:04.708
foraging_poss,20180530 07:29:04.728,20180530 07:29:07.895
flying_active,20180530 07:29:07.916,20180530 07:29:38.360
flying_active,20180530 07:30:19.413,20180530 07:30:28.167
foraging_poss,20180530 07:30:29.830,20180530 07:30:35.122
flying_passive,20180530 07:30:28.195,20180530 07:30:29.830
flying_active,20180530 07:30:35.145,20180530 07:30:40.041
flying_passive,20180530 07:30:40.061,20180530 07:30:40.703
flying_active,20180530 07:30:40.728,20180530 07:30:50.186
foraging_poss,20180530 07:30:50.204,20180530 07:30:51.727
flying_active,20180530 07:30:51.762,20180530 07:31:15.327
flying_active,20180530 07:31:51.407,20180530 07:32:04.968
foraging_poss,20180530 07:32:04.973,20180530 07:32:08.743
flying_active,20180530 07:32:08.753,20180530 07:32:48.366
flying_passive,20180530 07:45:39.941,20180530 07:45:57.558
flying_active,20180530 07:45:58.439,20180530 07:46:36.170
flying_active,20180530 08:22:29.274,20180530 08:23:25.839
flying_active,20180530 08:23:57.762,20180530 08:24:52.087
flying_active,20180530 08:25:23.870,20180530 08:26:20.436
flying_active,20180530 08:26:35.557,20180530 08:27:28.762
flying_active,20180530 08:28:19.167,20180530 08:29:14.052
unknown,20180531 00:28:02.541,20180531 00:28:59.392
flying_active,20180531 00:51:27.520,20180531 00:51:42.889
ground_stationary,20180531 00:56:17.371,20180531 00:57:10.388
ground_stationary,20180531 01:29:10.524,20180531 01:30:02.371
flying_passive,20180531 03:15:09.514,20180531 03:15:18.419
poss_foraging,20180531 03:15:18.431,20180531 03:15:26.068
flying_active,20180531 03:15:26.074,20180531 03:15:31.398
ground_stationary,20180531 03:15:33.092,20180531 03:16:06.371
flying_active,20180531 03:18:35.515,20180531 03:19:32.371
flying_active,20180531 03:20:17.411,20180531 03:20:30.837
flying_active,20180601 19:04:45.501,20180601 19:05:06.254
flying_active,20180601 19:07:01.504,20180601 19:07:41.364
flying_active,20180601 19:08:26.505,20180601 19:09:23.375
flying_active,20180601 19:10:20.901,20180601 19:10:50.375
flying_active,20180601 19:12:33.505,20180601 19:13:30.321
flying_active,20180601 19:14:49.502,20180601 19:15:28.688
flying_active,20180601 19:17:49.506,20180601 19:18:46.359
unknown,20180601 19:27:02.564,20180601 19:27:24.366
flying_active,20180601 19:31:40.414,20180601 19:32:35.308
ground_stationary,20180601 08:56:48.542,20180601 08:57:03.959
unknown,20180601 19:19:39.532,20180601 19:19:55.293
stationary,20180601 20:11:28.234,20180601 20:12:20.278
flying_active,20180602 00:59:36.056,20180602 00:59:52.029
stationary,20180602 01:44:25.513,20180602 01:45:22.380
flying_active,20180602 02:10:30.524,20180602 02:11:09.050
unknown,20180602 02:11:56.130,20180602 02:11:58.893
flying_active,20180602 02:13:24.045,20180602 02:14:07.367
flying_active,20180602 02:16:39.248,20180602 02:16:43.794
ground_stationary,20180602 02:23:00.557,20180602 02:23:42.066
ground_stationary,20180602 02:26:39.047,20180602 02:27:16.295
flying_active,20180602 02:46:36.526,20180602 02:46:48.993
unknown,20180602 02:48:00.594,20180602 02:48:36.520
flying_active,20180602 02:49:42.549,20180602 02:50:39.387
flying_active,20180602 02:51:53.509,20180602 02:52:50.411
flying_active,20180602 02:54:01.650,20180602 02:54:58.292
flying_active,20180602 02:55:31.853,20180602 02:56:16.312
unknown,20180602 04:44:28.597,20180602 04:44:34.936
unknown,20180602 04:59:34.641,20180602 05:00:31.281
ground_stationary,20180602 07:37:03.189,20180602 07:37:55.115
unknown,20180529 19:10:18.512,20180529 19:10:19.994
flying_active,20180529 19:22:07.590,20180529 19:23:04.286
unknown,20180529 19:27:28.761,20180529 19:27:30.407
unknown,20180529 19:30:54.662,20180529 19:30:56.658
flying_active,20180529 19:31:39.191,20180529 19:32:35.374
flying_active,20180529 19:49:06.575,20180529 19:49:35.697
unknown,20180529 19:53:57.396,20180529 19:54:05.302
flying_active,20180529 19:56:59.644,20180529 19:57:56.355
unknown,20180529 19:59:07.516,20180529 19:59:13.001
flying_active,20180529 20:11:04.122,20180529 20:11:41.380
unknown,20180529 20:12:36.823,20180529 20:13:33.393
unknown,20180529 20:14:05.067,20180529 20:15:00.874
unknown,20180529 20:22:49.563,20180529 20:23:46.384
unknown,20180529 20:32:36.556,20180529 20:33:33.492
unknown,20180529 20:34:15.860,20180529 20:35:12.704
unknown,20180529 20:39:26.606,20180529 20:40:23.452
unknown,20180529 20:42:32.619,20180529 20:43:29.244
unknown,20180529 20:47:22.816,20180529 20:48:19.608
flying_active,20180529 21:05:29.549,20180529 21:05:34.992
unknown,20180529 06:29:33.604,20180529 06:29:35.525
flying_passive,20180529 06:29:35.531,20180529 06:29:58.371
flying_active,20180529 06:32:45.786,20180529 06:32:47.366
foraging_insect_poss,20180529 06:33:45.575,20180529 06:33:48.831
flying_passive,20180529 06:33:48.836,20180529 06:33:50.377
unknown,20180529 06:34:43.162,20180529 06:34:45.209
foraging_insect_poss,20180529 06:39:47.228,20180529 06:39:49.112
flying_passive,20180529 06:39:49.115,20180529 06:40:18.045
unknown,20180529 06:40:18.049,20180529 06:40:20.147
flying_passive,20180529 06:40:20.152,20180529 06:40:28.368
foraging_insect_poss,20180529 06:02:58.677,20180529 06:02:59.714
flying_passive,20180529 06:02:59.727,20180529 06:03:09.961
foraging_insect_poss,20180529 06:06:03.145,20180529 06:06:05.545
flying_passive,20180529 06:06:13.135,20180529 06:06:29.365
foraging_insect_poss,20180529 06:11:41.927,20180529 06:11:45.656
flying_passive,20180529 06:11:45.664,20180529 06:11:57.368
bathing,20180526 06:41:43.523,20180526 06:41:48.770
flying_active,20180526 06:42:18.169,20180526 06:42:24.888
stationary,20180526 06:42:29.341,20180526 06:42:38.625
bathing,20180526 06:43:47.991,20180526 06:43:55.013
bathing,20180526 06:44:03.835,20180526 06:44:11.275
stationary,20180526 06:43:55.020,20180526 06:43:59.702
stationary,20180526 06:44:16.829,20180526 06:44:25.842
bathing,20180526 06:44:25.854,20180526 06:44:31.384
bathing,20180526 06:44:35.128,20180526 06:44:36.485
stationary,20180526 06:44:31.396,20180526 06:44:35.122
flying_active,20180526 07:00:29.990,20180526 07:00:35.859
flying_passive,20180526 07:00:35.871,20180526 07:00:38.424
flying_passive,20180531 03:15:31.409,20180531 03:15:32.155
flying_active,20180529 06:27:05.321,20180529 06:27:16.165
flying_passive,20180529 06:26:32.366,20180529 06:26:33.091
flying_passive,20180529 06:33:56.823,20180529 06:34:02.919
flying_active,20180529 06:34:02.922,20180529 06:34:18.933
flying_active,20180525 06:01:04.518,20180525 06:01:12.435
flying_passive,20180525 06:01:12.439,20180525 06:01:28.498
flying_passive,20180526 02:35:49.087,20180526 02:35:54.986
flying_active,20180526 02:35:54.997,20180526 02:35:57.437
flying_active,20180526 03:00:14.505,20180526 03:00:17.844
flying_active,20180526 06:56:01.529,20180526 06:56:04.986
flying_passive,20180526 06:56:05.001,20180526 06:56:09.537
flying_active,20180526 06:56:56.521,20180526 06:57:03.137
flying_active,20180526 06:57:06.611,20180526 06:57:09.864
flying_passive,20180526 06:57:09.872,20180526 06:57:12.202
flying_passive,20180526 06:59:02.508,20180526 06:59:08.145
flying_active,20180526 06:59:08.160,20180526 06:59:10.757
flying_passive,20180526 06:59:23.491,20180526 06:59:28.257
flying_active,20180526 06:59:28.267,20180526 06:59:59.300
flying_passive,20180529 04:00:50.989,20180529 04:01:04.363
flying_passive,20180529 04:18:06.933,20180529 04:18:09.312
flying_active,20180529 04:18:09.316,20180529 04:18:12.162
flying_passive,20180529 04:18:12.168,20180529 04:18:16.504
unknown,20180529 19:07:11.139,20180529 19:07:14.020
unknown,20180529 19:07:22.951,20180529 19:07:32.555
unknown,20180529 19:07:37.357,20180529 19:07:42.063
unknown,20180529 19:07:45.424,20180529 19:07:56.276
unknown,20180529 19:08:02.999,20180529 19:08:07.224
ground_stationary,20180529 07:15:21.520,20180529 07:15:49.651
flying_active,20180529 07:15:49.657,20180529 07:15:52.252
ground_stationary,20180529 07:15:52.258,20180529 07:15:59.890
ground_stationary,20180529 07:16:04.689,20180529 07:16:12.156
ground_active,20180529 07:16:12.160,20180529 07:16:13.828
ground_stationary,20180529 07:16:13.831,20180529 07:16:19.371
unknown,20180529 07:15:59.897,20180529 07:16:04.689
flying_passive,20180529 06:03:12.758,20180529 06:03:17.424
flying_passive,20180529 06:03:21.076,20180529 06:03:36.393
flying_active,20180529 06:03:09.966,20180529 06:03:12.751
flying_active,20180529 06:03:17.429,20180529 06:03:21.070
bathing_poss,20180526 03:22:56.898,20180526 03:23:49.397
foraging_poss,20180526 03:24:11.156,20180526 03:25:07.091
foraging_poss,20180529 06:34:21.040,20180529 06:34:28.182
unknown,20180525 04:16:04.515,20180525 04:16:28.434
ground_stationary,20180525 05:16:12.648,20180525 05:16:23.248
flying_active,20180525 05:16:29.155,20180525 05:16:31.582
flying_active,20180525 05:16:23.250,20180525 05:16:25.151
unknown,20180525 05:16:25.154,20180525 05:16:29.154
flying_passive,20180525 05:16:34.496,20180525 05:16:37.288
unknown,20180525 05:16:39.038,20180525 05:16:40.302
flying_active,20180525 05:16:37.289,20180525 05:16:38.577
unknown,20180525 05:16:31.583,20180525 05:16:32.140
flying_passive,20180525 05:16:38.578,20180525 05:16:39.037
flying_passive,20180525 05:16:40.303,20180525 05:16:43.334
flying_active,20180525 05:16:43.336,20180525 05:16:44.814
flying_active,20180525 05:16:49.378,20180525 05:16:51.066
flying_passive,20180525 05:16:44.816,20180525 05:16:49.377
flying_passive,20180525 05:16:51.068,20180525 05:16:58.185
flying_active,20180525 05:16:58.186,20180525 05:17:00.233
flying_active,20180525 06:31:04.521,20180525 06:31:48.655
flying_passive,20180525 06:31:48.658,20180525 06:31:51.870
flying_active,20180525 06:31:51.873,20180525 06:31:55.789
flying_passive,20180525 06:31:55.791,20180525 06:32:00.290
unknown,20180526 02:35:31.513,20180526 02:35:33.294
unknown,20180526 02:35:57.448,20180526 02:35:59.484
flying_passive,20180526 03:00:17.847,20180526 03:00:19.023
unknown,20180526 03:00:52.605,20180526 03:00:55.863
stationary,20180526 03:00:55.873,20180526 03:01:11.308
unknown,20180526 03:18:50.447,20180526 03:18:54.623
flying_passive,20180526 03:18:41.528,20180526 03:18:42.837
stationary,20180526 03:18:43.812,20180526 03:18:50.432
unknown,20180526 03:18:42.848,20180526 03:18:43.794
flying_active,20180526 03:19:55.611,20180526 03:20:40.608
flying_active,20180526 03:20:42.209,20180526 03:20:52.377
unknown,20180526 03:20:40.615,20180526 03:20:42.205
unknown,20180526 03:22:52.524,20180526 03:22:56.839
unknown,20180526 03:24:54.879,20180526 03:24:58.145
stationary,20180526 03:24:50.767,20180526 03:24:54.873
stationary,20180526 03:24:58.147,20180526 03:25:03.269
bathing,20180526 03:25:03.270,20180526 03:25:04.556
stationary,20180526 03:25:04.557,20180526 03:25:07.295
flying_active,20180526 03:32:44.506,20180526 03:33:01.941
flying_passive,20180526 03:33:01.942,20180526 03:33:02.757
flying_active,20180526 03:33:02.758,20180526 03:33:15.998
unknown,20180526 03:33:15.999,20180526 03:33:17.214
unknown,20180526 04:29:25.056,20180526 04:29:27.005
flying_active,20180526 04:29:22.553,20180526 04:29:25.055
flying_active,20180526 04:29:27.007,20180526 04:29:41.331
unknown,20180526 04:29:41.333,20180526 04:29:42.281
flying_passive,20180526 04:29:47.933,20180526 04:29:56.106
stationary,20180526 04:29:56.108,20180526 04:30:02.508
unknown,20180526 04:30:02.509,20180526 04:30:07.433
stationary,20180526 04:30:07.434,20180526 04:30:27.510
stationary,20180526 04:54:33.184,20180526 04:55:11.413
flying_active,20180526 04:55:11.417,20180526 04:55:15.226
stationary,20180526 04:55:17.550,20180526 04:55:27.332
flying_passive,20180526 04:55:15.228,20180526 04:55:16.279
unknown,20180526 04:55:16.281,20180526 04:55:17.548
stationary,20180526 05:00:02.266,20180526 05:00:32.159
stationary,20180526 04:59:35.545,20180526 05:00:01.353
flying_active,20180526 05:37:54.359,20180526 05:37:59.950
flying_passive,20180526 05:37:53.470,20180526 05:37:54.356
bathing,20180526 05:38:06.509,20180526 05:38:07.104
stationary,20180526 05:38:05.483,20180526 05:38:06.507
flying_passive,20180526 05:37:59.953,20180526 05:38:05.481
flying_active,20180526 05:41:35.042,20180526 05:41:47.303
unknown,20180526 05:41:32.875,20180526 05:41:35.036
unknown,20180526 05:55:00.521,20180526 05:55:34.503
flying_active,20180526 06:06:41.501,20180526 06:06:49.626
flying_passive,20180526 06:06:49.630,20180526 06:06:50.582
flying_active,20180526 06:17:02.804,20180526 06:17:03.945
flying_passive,20180526 06:16:59.507,20180526 06:17:02.801
flying_passive,20180526 06:17:03.949,20180526 06:17:04.728
flying_active,20180526 06:17:25.585,20180526 06:17:28.524
flying_active,20180526 06:17:29.873,20180526 06:17:56.304
flying_passive,20180526 06:17:28.526,20180526 06:17:29.871
flying_passive,20180526 06:17:24.688,20180526 06:17:25.582
flying_passive,20180526 06:23:24.884,20180526 06:23:27.209
flying_active,20180526 06:23:27.217,20180526 06:23:32.320
flying_passive,20180526 06:32:54.983,20180526 06:32:56.183
flying_passive,20180526 06:32:39.183,20180526 06:32:40.346
flying_passive,20180526 06:32:44.108,20180526 06:32:44.873
flying_passive,20180526 06:32:31.777,20180526 06:32:32.293
flying_active,20180526 06:32:28.541,20180526 06:32:31.773
flying_active,20180526 06:32:32.298,20180526 06:32:39.178
